tag_originale,occorrenze,origine,azione,concetto_canonico,etichetta_grafo,nota
university,1,manual,merge,Higher education,,
historical thinking,1,automatic,keep,Historical thinking,,
Histoire,1,manual,merge,History,,
storia,1,manual,merge,History,,
history teaching,1,automatic,keep,History teaching,,
Human Oversight,1,automatic,keep,Human Oversight,,
humanities,1,manual,merge,Humanities,,
IFLA,1,manual,keep,IFLA,,
ISO Standards,1,automatic,merge,ISO standards,,
iconografia,1,manual,merge,Iconography,,
riconoscimento immagini,1,manual,merge,Image recognition,,
Inclusion,1,manual,merge,Inclusion,,
Inclusiveness,1,manual,merge,Inclusion,,
Indeterminatezza,1,manual,merge,Indeterminacy,,
indicizzazione,1,automatic,merge,Indexing,,
industria,1,manual,merge,Industry,,
Information extraction,1,manual,keep,Information extraction,,
letteratura italiana,1,manual,merge,Italian literature,,
Italia,1,manual,merge,Italy,,
Knowledge engineering,1,automatic,keep,Knowledge engineering,,
Organizzazione della conoscenza,1,manual,merge,Knowledge organization,,
Kraken (HTR),1,manual,keep,Kraken (HTR),,
KullbackLeibler divergence KLD,1,manual,keep,KullbackLeibler divergence KLD,,
LLM training,1,manual,keep,LLM training,,
LLMs4EU,1,manual,keep,LLMs4EU,,
lavoro,1,manual,merge,Labour,,
Latin,1,manual,keep,Latin,,
diritto,1,manual,merge,Law,,
law,1,manual,merge,Law,,
Layers,1,automatic,keep,Layers,,
Library of Congress Classification,1,manual,keep,Library of Congress Classification,LCC,
Linked Open Data,1,manual,keep,Linked open data,LOD,
Literary genre,1,manual,keep,Literary genre,,
Literary value,1,manual,keep,Literary value,,
letteratura,1,manual,merge,Literature,,
Low resources languages,1,manual,keep,Low resources languages,,
Linee guida MIM,1,manual,merge,MIM guidelines (Italy),,
Machine Learning Lifecycle,1,automatic,keep,Machine Learning Lifecycle,,
machine learning,1,manual,merge,Machine learning,ML,
Machine-based classification,1,automatic,keep,Machine-based classification,,
Management Systems,1,automatic,keep,Management Systems,,
Media studies,1,automatic,keep,Media studies,,
handwritten medieval documents,1,automatic,merge,Medieval manuscripts,,
Medieval manuscripts,1,manual,merge,Medieval manuscripts,,
Medieval text,1,automatic,merge,Medieval texts,,
Metadata,1,manual,merge,Metadata,,
metadati,1,automatic,merge,Metadata,,
Methodology,1,manual,keep,Methodology,,
Moyen Âge,1,manual,merge,Middle Ages,,
Model System Cards,1,manual,keep,Model System Cards,,
Multilingal information retrieval,1,manual,merge,Multilingual information retrieval,,Include correzione refuso 'Multilingal'
Recherche d'information multilingue,1,manual,merge,Multilingual information retrieval,,Include correzione refuso 'Multilingal'
Multimedia systems,1,automatic,keep,Multimedia systems,,
Mussolini,1,manual,keep,Mussolini,,
Naples Dante Project,1,manual,keep,Naples Dante Project,,
Natural language processing systems,1,manual,merge,Natural language processing,NLP,Include correzione del refuso 'laguage' (5 occorrenze)
neural nets,1,automatic,merge,Neural networks,,
neural network,1,automatic,merge,Neural networks,,
Neural networks,1,automatic,merge,Neural networks,,
Normalized and diplomatic annotation,1,automatic,keep,Normalized and diplomatic annotation,,
Notified Bodies,1,automatic,keep,Notified Bodies,,
OWL ontology,1,manual,keep,OWL ontology,,
Ontologies,1,manual,merge,Ontologies,,
ontology,1,manual,merge,Ontologies,,
lettera aperta,1,manual,merge,Open letter,,
open letter,1,manual,merge,Open letter,,
OCR,1,manual,merge,Optical character recognition,OCR,Include de-escaping LaTeX
Optical character recognition OCR,1,manual,merge,Optical character recognition,OCR,Include de-escaping LaTeX
Reconnaissance optique de caract{\`e}res OCR,1,manual,merge,Optical character recognition,OCR,Include de-escaping LaTeX
Personas,1,manual,keep,Personas,,
policy,1,manual,merge,Policy,,
Policy Analysis,1,automatic,keep,Policy Analysis,,
policymaking,1,automatic,merge,Policymaking,,
Post-Market Monitoring,1,automatic,keep,Post-Market Monitoring,,
preservice teachers,1,automatic,merge,Preservice teachers,,
Promp engineering,1,manual,merge,Prompt engineering,,Correzione refuso
Amministrazione Pubblica,1,manual,merge,Public administration,,
Public administration,1,automatic,merge,Public administration,,
Public libraries,1,automatic,keep,Public libraries,,
Python,1,manual,keep,Python,,
Quality Management System,1,automatic,keep,Quality Management System,,
Readers,1,manual,keep,Readers,,
Reasoning LLMs,1,manual,keep,Reasoning LLMs,,
regolamentazione,1,manual,merge,Regulation,,
Regulatory Framework,1,automatic,keep,Regulatory Framework,,
Regulatory Sandboxes,1,automatic,keep,Regulatory Sandboxes,,
affidabilità,1,manual,merge,Reliability,,
Representation,1,manual,keep,Representation,,
Riproducibilità,1,manual,merge,Reproducibility,,
research staff,1,automatic,keep,Research staff,,
Responsible AI,1,manual,merge,Responsible AI,,Accorpa 'uso responsabile' e 'sviluppo responsabile'
sviluppo responsabile,1,manual,merge,Responsible AI,,Accorpa 'uso responsabile' e 'sviluppo responsabile'
Retrieval Augmented Generation,1,manual,merge,Retrieval-augmented generation,RAG,
rischi,1,manual,merge,Risk,,
Robots,1,manual,keep,Robots,,
Safety Requirements,1,automatic,keep,Safety Requirements,,
Metodo scientifico,1,manual,merge,Scientific method,,
scientific progress,1,automatic,keep,Scientific progress,,
Scientific and technical research,1,automatic,merge,Scientific research,,
Scientific research workflows,1,manual,keep,Scientific research workflows,,
intelligenza condivisa,1,manual,merge,Shared intelligence,,
SSH,1,manual,merge,Social sciences and humanities,SSH,
sociology,1,manual,merge,Sociology,,
Software libraries,1,automatic,keep,Software libraries,,"Omonimia con 'Libraries': accezione informatica, NON accorpare"
Stereotypes,1,manual,keep,Stereotypes,,
pappagalli stocastici,1,manual,merge,Stochastic parrots,,
Stylometry,1,manual,keep,Stylometry,,
Suspence,1,manual,merge,Suspense,,Correzione refuso
sostenibilità,1,manual,merge,Sustainability,,
Systematic literature review,1,automatic,keep,Systematic literature review,,
Systemic Risk,1,automatic,keep,Systemic Risk,,
TEI encoding,1,manual,keep,TEI encoding,,
Task automation,1,manual,keep,Task automation,,
Technical Documentation,1,automatic,keep,Technical Documentation,,
Diritto delle Nuove Tecnologie,1,manual,merge,Technology law,,
Testo,1,manual,merge,Text,,
text,1,manual,merge,Text,,
Text processing,1,manual,keep,Text processing,,
Produzioni di testo,1,manual,merge,Text production,,
text-to-image,1,manual,merge,Text-to-image generation,,
text-to-image generation,1,manual,merge,Text-to-image generation,,
Tempo nella letteratura,1,manual,merge,Time in literature,,
Transkribus,1,automatic,keep,Transkribus,,
Translation studies,1,manual,keep,Translation studies,,
Transparency Requirements,1,automatic,keep,Transparency Requirements,,
Valorisation of cultural heritage,1,manual,keep,Valorisation of cultural heritage,,
Biblioteca Apostolica Vaticana,1,manual,keep,Vatican Apostolic Library,,
Visual materials,1,manual,keep,Visual materials,,
Vocabulary,1,automatic,keep,Vocabulary,,
Writing,1,automatic,keep,Writing,,
bidirectional long short-term memory,1,automatic,keep,bidirectional long short-term memory,,
computational history,1,automatic,keep,computational history,,
computational methods,1,automatic,keep,computational methods,,
critical analysis,1,manual,keep,critical analysis,,
data science,1,automatic,keep,data science,,
decision-making,1,automatic,keep,decision-making,,
digital diplomatics,1,automatic,keep,digital diplomatics,,
digital technology,1,manual,keep,digital technology,,
distant reading,1,manual,keep,distant reading,,
document image processing,1,automatic,keep,document image processing,,
document understanding,1,manual,keep,document understanding,,
economic inequality,1,manual,keep,economic inequality,,
environmental footprint,1,manual,keep,environmental footprint,,
feature extraction,1,automatic,keep,feature extraction,,
hidden Markov models,1,entrambi,keep,hidden Markov models,,
historical documents,1,automatic,keep,historical documents,,
image,1,manual,keep,image,,
image browsing,1,automatic,keep,image browsing,,
impact of information technology,1,automatic,keep,impact of information technology,,
innovation,1,automatic,keep,innovation,,
medieval and early modern German,1,manual,keep,medieval and early modern German,,
medieval charters,1,automatic,keep,medieval charters,,
medieval digital studies,1,automatic,keep,medieval digital studies,,
middle high German,1,automatic,keep,middle high German,,
model performance,1,manual,keep,model performance,,
multimodal,1,manual,keep,multimodal,,
multiple European languages,1,manual,keep,multiple European languages,,
narrative revelation,1,manual,keep,narrative revelation,,
open source,1,manual,keep,open source,,
privacy,1,manual,keep,privacy,,
real world systems,1,automatic,keep,real world systems,,
software,1,manual,keep,software,,
tasks,1,manual,keep,tasks,,
text alignment,1,manual,keep,text alignment,,
text browsing,1,automatic,keep,text browsing,,
text normalisation,1,manual,keep,text normalisation,,
unconstrained modern scripts,1,automatic,keep,unconstrained modern scripts,,
user experience,1,automatic,keep,user experience,,
video,1,manual,keep,video,,
web data,1,manual,keep,web data,,
word accuracy,1,automatic,keep,word accuracy,,
word image extraction,1,automatic,keep,word image extraction,,
